Album, Items
EWC Karaoke 2021,68
Easter 2019,23
Easter 2018,31
Easter 2017,60
Easter 2016,14
Easter 2014,29
Easter 2013,85
Easter 2021,27
Walnut Creek Farm- Ohio,250
Berlin- Ohio,49
Sugarcreek & Millerburg- Ohio,19
Passau- June 5 2018,181
Regensburg- June 4 2018,132
Nuremberg- June 3 2018,148
Bamberg- June 2 2018,95
Wurzburg- June 1 2018,93
Wertheim- May 31 2018,108
Koblenz- May 30- 2018,192
Cologne May 29. 2018,102
Kinderdijk- Holland May 28 2018,129
Haalen- Holland May 26 2018,165
Amsterdam- May 26 2018,11
Amsterdam Golden Age Art,87
Amsterdam Canal May 27 2018,145
Amsterdam May 25- 2018,91
Winter 2021,31
Covid-19 Vaccination 2021,44
Rachael Paintings,13
Janet Andrade Birthday 2021,9
Easter 2021,27
Grank Kids 2020,101
The Wilds Video,14
The Wilds by Rachael,156
The Wilds 2020,304
Ruth Leopard 100th BD,31
Norma Varon Jimenez Paintings,9
New Year 2020,27
George Andrade BD 2020,35
EWC Spring 2020,38
EWC Autumn 2020,6
Elena 13th Birthday,91
Castro's Solarium 2020,23
Calixto Grill Restaurant 2020,26
Ashworth Block Party,25
From Oscar 2020,36
Our 34th Anniversary 2020,4
Tom Bowles,60
Xcaret Mexico,30
Carnival Victoria Cruise 2003,204
Elena's Broadway 2018,22
Mother's Day 2016,18
Lucian Davis ~Celebration of Life,90
Windjammer ~Virgin Gorda,5
Windjammer ~ Tortola,11
Windjammer ~ 5 St. John,15
Windjammer ~ Water Island,9
Windjammer ~ Stowaway 2004,57
LindaRetirement,1 item
LindaNottinghamRet,61
Crawford Wedding,54
New Year 2016,32
Casas Family,1 item
Christmas Day 2015,26
Christmas Eve (2),64
Christmas Eve Eve,11
Ronda Davis,184
Torres Monzon Family,13
2013,24
ST Thomas 2015,133
Ginger Bread Party,58
Our Home (1),10
GalaxyPhotos,167
Veterans Day,166
Thanksgiving (3),49
more pictures,1 item
Screenshots,25
Pictures (1),246
Sample Images,6
My Catalog,119
17-Oct,3
Grenada Oct 17,30
Carricaou Oct 16,11
Masquerade Party Oct 15,93
15-Oct,142
Mandalay ~Oct 14 2015,63
Bequia Oct 13,53
13-Oct,4
16-Oct,116
Carricaou Oct 12,50
Grenada,179
Kettering- Moraine Branch Library,69
Pope Francis in America,42
My 69th Birthday,57
Edra Birthday,19
Air Force Marathon 2015,244
Family Castillo & Trujillo,51
Carlos Castillo Perez,26
Enrique Jimenez Latorre,4
Photos 02,12
Photos 01,80
Photos 03,3
Motorcycle 2013,200
Galaxie,228
Elisa 90th Birthday,45
Alex 7th Birthday Party,231
Armando Photos 2015,230
CentervilleTheater,231
Father Day and Lili,56
Alex Kinder Garden Graduation 2014,30
Mother's Day (1),50
April 4th,4
Sleding Day Winter 2015,45
Family Elena's Birthday,100
Elena's Sleep Over,27
Elena 8th Birthday,108
Misc Family Photos,20
Christmas Day 2015,69
Christmas Eve (1),79
Christmas Photos,90
Alex 7th Birthday,111
Chip Birthday,14
Tour of France Memorabilia,3
Pam's Birthday,8
El Meson July,4
Indian Lake Camping 19xx,27
Debbie Semones Birthday Party,13
Correa Valencia Family,1 item
Father's Day,113
Jeff Ruby's,8
Opening Pool Party,2
Dayton Dragons Game,11
Alex_Elena_Visit,17
A World A'Fair 2015,168
School Photos,4
MothersDay_2015_05_10,111
2015,177
Lali Chaves 2015 birthday,33
New Port Aquarium,23
Ina after 23 Years,12
Dads 95th Birthday,29
Alpacas Llamas at the Library,64
Alex Visit_04_07_2015,10
Easter 2015,43
My Retirement Party,73
ClassReunion_SanBernardo,17
Scans_03,137
Family Scans 2015,66
Christmas Cards Photos,19
Winter (2),15
Elena's 8th Birthday,49
CHINCHERO (1),30
Library Friends (1),8
Rio do Janeiro Jan 3-5,273
Jan 02 2015,26
Jan 01 2015,10
31-Dec,256
30-Dec,338
29-Dec,4
Dec 27 2014 Stanley United Kingdom,263
Art,7
26-Dec,12
Rounding Cape Horn,69
25-Dec,127
Sun Rise in Patagonia,57
24-Dec,159
23-Dec,1 item
22-Dec,15
21-Dec,326
Dec 20 at Sea,38
19-Dec,298
No Show,31
18-Dec,331
17-Dec,12
16-Dec,9
15-Dec,59
14-Dec,159
13-Dec,169
12-Dec,13
11-Dec,110
10-Dec,25
9-Dec,105
8-Dec,11
7-Dec,20
6-Dec,27
Maps and Docs,51
5-Dec,102
4-Dec,60
Slide Show,933
3-Dec,34
Thanksgiving 2014,41
Edra Photos,40
2014_11_22,28
2014_11_21,90
Island Windjammer ~ St Kitts,84
emails,10
Nives- 2014,120
2014_11_18,49
Island Windjammer ~ Saint Marteen2014_11_17,133
Island Windjammer Saint Marteen,27
Saint Marteen,65
Island Windjammer 2014,6
Veterans Day at Progressive,120
2014_11_11,55
Tom_photos,402
Caryville Tennessee,6
Sander New House,32
Glenn & Sue Wedding,61
Gatlinburg,2
Dollywood,105
Scans_02,12
My 68th Birthday,11
Emily Wedding,13
Videos,6
Bianca Nixon Wedding,6
Emily Bond Wedding,37
Retirement Luncheon,181
Holdrige Family Visit,48
Newport Aquarium Elena and Alex,183
Alex 6th Birthday_ 2014,76
Celtic Festival,27
ElMeson_19_Jul,68
LucianDavisVeterans,21
Camera (2),145
Selection Colombia,35
101MSDCF (21),12
WorldCupColvsBrazil,40
shotsofSlides,59
2014_06_28 (1),80
2014_06_28,256
2014_06_22,4
2014_06_15,33
2014_06_07,65
2014_05_26,70
2014_05_02,19
2014_04_30,73
2014_04_20,173
2014_04_19,88
2014_04_12,19
Grandkids Soccer,31
2014_03_22,58
2014_02_28,18
2014_02_22,25
2014_02_17,3
winter (1),4
2014_02_15,107
2014_02_02,75
2014_01_25,50
2014_01_20,30
NewYear_2013_2014 Party,91
2013_12_31,129
2013_12_25,91
2013_12_24,84
El Meson Christmas Dinner,12
Christmas Front Door,12
Colombian Novena,17
SHPE Christmas Party (1),18
Goddard Pageant,252
Gingerbread Houses Buildilng 2013,40
11/28/2013,96
11/16/2013,27
11/9/2013,19
RYWD_Holloween,41
10/24/2013,99
10/20/2013,50
10/13/2013,133
Veterans at Progressive 2013,20
9/28/2013,69
AF Marathon,218
2013_09_21,303
9/21/2013,552
9/20/2013,18
9/14/2013,7
8/24/2013,82
8/19/2013,12
8/10/2013,137
Alex BD,137
2013_08_06,19
misc_ photos,2
7/30/2013,64
7/29/2013,84
7/28/2013,25
Holland_Michigan,125
Linda_Mikes_friend_BD,23
Elena (2),1 item
Alex (1),2
7/6/2013,47
7/2/2013,7
6/29/2013,14
6/23/2013,67
Rachael 40thBirthday,67
6/20/2013,9
6/19/2013,9
6/16/2013,16
6/16/2013,25
6/15/2013,56
My Galaxy,270
6/9/2013,35
CarNew,1 item
My Galaxie_S4,201
Camera,178
6/1/2013,50
Elena Graduation Kindergarten,57
Garzon Family,5
5/23/2013,2
5/18/2013,157
A World A'Fair 2013,157
5/12/2013,76
4/21/2013,63
3/31/2013,122
3/22/2013,7
3/9/2013,22
3/6/2013,25
3/5/2013,7
3/2/2013,27
2/17/2013,16
Jan Scans,1 item
Roselena 80th Birthday,49
Jan 60th Birthday,21
2/9/2013,25
Eric Visit Blizzard,4
1/26/2013,135
Elena Birthday 6th,136
1/24/2013,2
1/21/2013,22
Day 16 Cardiff - Stonehenge - London,4
Day 14 Killarney -Waterford,5
1/1/2013,4
12/31/2012,57
12/29/2012,128
860OKMZO,16
12/26/2012,28
12/25/2012,22
Christmas (1),23
Christmas_Eve (1),61
12/22/2012,8
12/9/2012,3
12/8/2012,48
The_3_Photo,7
12/2/2012,44
family_100MSDCF,190
Christmas Pageant,47
11/24/2012,10
Thanksgiving (2),40
Portrays,4
Gilian Birthday,8
Soccer (1),1 item
Travelers,18
Renaissance Festival,235
ElisitaBirthday,13
ColumbusVsChivas,68
AF Marathon 2012,660
Going London,85
Roman Baths,198
Salisburgh Stonehenge,196
Day 15 Waterford -Cardiff,257
Waterford Chrystal,128
Dungarvan -Waterford,135
Blarney Castle,187
Day 13 Ring of Kerry Excursion,428
Day 12 Dublin-Kildare-Killarney,297
Day 11 Dublin Sightseeing,285
Day 10 Chestser-Dublin,250
Day 9 Lake District-Grasmere-Chester,308
Day 8 HighLands-Lake District,255
Day 7 Edinburgh-St Andrews-Highlands,295
12/2/2012,444
Day 6 Edinburgh Sightseeing,447
maps (1),11
Day 5 York-Durham-Edinburgh,269
Day 4 London Stratford York,247
Day 17 London- Return Home,58
Day 3 London Sightseeing,632
Day 1 Depart Home London,26
Orlando Vilches Visit,15
brousure,5
Scans (1),65
100HPAIO (2),28
Muchie Retirement,26
Alex Birthday 4th,87
Hail Damage,11
New York Elisa,325
LibraryFriends_2012,14
Horacio,6
Elena Recital Gee Whiz I'm in Showbzis,16
IpodPhotos,39
library friends,6
walk_for_life,8
GrandKids_2AusomeDays,86
Armando's Photos,288
party,138
Lunch,31
extrange visitors,25
Circus_nutterCenter,75
Cheril_50th_birthday,18
Prom Rachael and Andy,10
No_Publish,21
2012_OMC,1 item
Virgen Island 2012,45
library_70s_80s,22
Grandkids_Photos_Misc,65
Easter 2012,93
Colombia 1988,64
